Axis       Genes  MinDip  Rk   XCorr  Rk    Gini  Rk   EdgeR  Rk   LoadA  Rk
===============================================================================================
axis_0       831   0.000  36   0.336  14   0.142  34   0.061  43   0.087  48
axis_1       518   0.133   9   0.327  16   0.715   6   0.085  38   0.704  33
axis_10       25   0.111  12   0.191  27   0.108  49   0.459   1   0.658  37
axis_11      106   0.000  36   0.306  17   0.649  17   0.125  28   0.901  14
axis_12      343   0.281   3   0.236  23   0.599  23   0.140  25   0.793  25
axis_13      186   0.116  11   0.044  42   0.694  11   0.177  21   0.881  17
axis_14        9   0.239   4  -0.033  47   0.118  42   0.177  20   0.775  26
axis_15       21   0.129  10   0.343  13   0.115  46   0.019  45   0.214  45
axis_16       48   0.162   8   0.186  29   0.658  16   0.203  16   0.906  13
axis_17       39   0.000  36   0.116  36   0.691  12   0.122  30   0.921  12
axis_18       28   0.000  36   0.043  43   0.124  40   0.000  49   0.387  42
axis_19       41   0.000  36   0.445   5   0.724   4   0.124  29   0.896  16
axis_2        52   0.000  36   0.356  10   0.128  39   0.141  24   0.315  43
axis_20       13   0.000  36   0.025  44   0.138  36   0.319   5   0.834  21
axis_21       12   0.038  21   0.214  25   0.217  28   0.113  32   0.676  36
axis_22        9   0.000  36   0.136  34   0.116  44   0.418   2   0.730  31
axis_23       99   0.000  36   0.098  37   0.115  45   0.152  23   0.272  44
axis_24       27   0.061  19   0.354  11   0.711   7   0.105  33   0.861  19
axis_25       62   0.000  36   0.484   4   0.644  19   0.076  41   0.830  22
axis_26       48   0.167   7   0.074  41   0.579  24   0.196  17   0.774  27
axis_27        8   0.062  18  -0.108  49   0.112  48   0.255  13   0.733  30
axis_28       99   0.192   6   0.180  31   0.734   3   0.179  19   0.965   2
axis_29        8   0.000  36   0.706   1   0.186  29   0.000  49   0.618  38
axis_3        49   0.087  14   0.406   7   0.181  30   0.268  10   0.028  49 <--
axis_30       12   0.000  36  -0.177  50   0.139  35   0.250  14   0.611  39
axis_31       10   0.000  36   0.245  22   0.240  27   0.080  39   0.924  11
axis_32       11   0.000  36   0.085  39   0.113  47   0.062  42   0.749  28
axis_33      185   0.000  36   0.250  21   0.667  14   0.186  18   0.939   7
axis_34       26   0.081  15   0.203  26   0.642  20   0.129  26   0.941   6
axis_35        8   0.237   5  -0.058  48   0.103  50   0.238  15   0.813  24
axis_36       43   0.308   2  -0.016  46   0.566  25   0.269   9   0.870  18
axis_37       76   0.000  36   0.512   3   0.661  15   0.096  35   0.897  15
axis_38       14   0.056  20   0.091  38   0.455  26   0.261  11   0.829  23
axis_39       22   0.097  13   0.083  40   0.627  22   0.088  37   0.707  32
axis_4        58   0.069  17   0.299  18   0.133  37   0.079  40   0.009  50
axis_40        7   0.000  36  -0.012  45   0.128  38   0.297   7   0.199  46
axis_41      191   0.000  36   0.184  30   0.118  41   0.093  36   0.189  47
axis_42        7   0.000  36   0.188  28   0.117  43   0.000  49   0.928  10
axis_43       29   0.070  16   0.382   9   1.284   1   0.008  46   0.837  20
axis_44       70   0.000  36   0.531   2   0.700   8   0.114  31   0.984   1
axis_45       33   0.000  36   0.150  32   0.695  10   0.289   8   0.950   4
axis_46       78   0.000  36   0.399   8   0.739   2   0.097  34   0.937   8
axis_47      640   0.000  36   0.122  35   0.721   5   0.045  44   0.589  40
axis_48      125   0.310   1   0.286  20   0.158  32   0.259  12   0.694  34
axis_49      349   0.000  36   0.413   6   0.700   9   0.003  47   0.484  41
axis_5        83   0.000  36   0.230  24   0.171  31   0.317   6   0.682  35 <--
axis_6       129   0.000  36   0.347  12   0.640  21   0.410   3   0.929   9
axis_7        94   0.000  36   0.146  33   0.682  13   0.126  27   0.945   5
axis_8        28   0.000  36   0.332  15   0.149  33   0.319   4   0.741  29
axis_9        54   0.000  36   0.289  19   0.645  18   0.169  22   0.953   3
