gene,train_r2,test_r2,train_rmse,test_rmse
ESR1,0.5465038509052638,-20.711311630279532,1.3180710407825682,4.659537933726332
CDK12,0.1263365916226713,-10.228589001505767,0.6084222234231524,3.350911359499016
DOC2A,0.12285638596640425,-1.6554770445185785,0.7802517526920557,1.6295635917089115
ERBB2,0.2552958261667143,-27.078030466408652,0.8951211169029347,5.298865732075935
KRT19,0.07778327633479065,-58.15427146657851,0.8797716523491337,7.691183578613514
PGAP3,0.24253611513424667,-14.935520293397067,0.722982018736081,3.991932847222381
PGBD5,0.18215994460921414,-1.856076323590616,0.8872703828398779,1.6899932561957598
PNMT,0.11037596806561623,-0.9763889086385764,1.270102650366978,1.4058407907536639
STARD3,0.241401057936796,-14.624954400053849,0.6506272402956864,3.9528441509175867
ABCC4,0.11450486384115122,-2.378927838722237,0.6965512527163519,1.8381846695198543
APOA1,0.04758743571161572,-0.22415251909186584,0.5924083888759378,1.1064144430424556
CLDN11,0.0657023142040476,-3.0807635457364544,0.8700427355036986,2.020090315292224
CNIH4,0.06801144330915276,-22.56368544994717,0.4760651025543371,4.854247521533726
JOSD1,0.148777816052737,-15.601863434968884,0.33303026183425616,4.074538029980716
RBFA,0.057358261136418176,-5.772034311148142,0.36101150354756456,2.6023118428048226
S100A9,0.1605034981736535,-19.239394326364465,1.7346466885875202,4.498822481174586
CRYL1,0.11201037984038442,-13.540255537230143,0.4952845983343314,3.8131712337242956
DIO2,0.07531967173665244,-4.494508108475693,0.9068908495164644,2.3440357059867853
GREB1,0.3701138007142726,-6.8747685722934335,1.0664571323915315,2.806197594730234
LAMC2,0.09645641775872937,-6.9628515388266505,1.1455963874956874,2.821854761340224
LIMCH1,0.04396347089506758,-10.965433248946143,0.8208620277754957,3.459111297271667
SIM2,0.06448109514827127,-1.8631853225103385,0.8899461594421298,1.6920955906632071
KITLG,0.1722964132574658,-10.682522735947165,0.9038733781125622,3.417973836108574
ADORA1,0.06488325182292864,-5.518980953829691,0.9908455079973456,2.553229795493948
ASTN1,0.058791389384728165,-0.08164393365107303,0.34309323794161994,1.0400210012449407
CD79A,0.05986599376541868,-4.999346843817823,1.336761529407523,2.4493562087750207
DLK1,0.042213100248872926,-0.14341883277511824,1.1913451706478315,1.069306425819709
OPN3,0.10041187202798063,-4.672751920284729,0.6355612606983095,2.38175654984531
PFN2,0.09566343241718955,-21.742048518947964,0.7532604268246369,4.768863301473764
ROBO1,0.05319149067564988,-5.927210333300505,0.697124198960292,2.6319578927747505
TGFB3,0.21017652578982815,-15.948031331102701,0.712432599407313,4.116794207866515
TNK1,0.16556663302088337,-9.718749060756025,0.48550938152573464,3.273950799951455
TNN,0.11469891085470807,-2.228222985073815,0.9096366970478595,1.7967268442756759
VENTX,0.0702381890829551,-0.351835617329038,0.35661046048860995,1.162684608145828
WLS,0.057535021350572535,-11.233454838862388,0.8993516465498457,3.497638169944137
CALB2,0.13667860118134145,-4.610118170450887,1.1652723496630437,2.368568928854091
MAGED2,0.2796189341526797,-44.39788992742909,0.6742823192014269,6.7377944018666005
NKX3-1,0.0676024885024119,-4.531266176134103,1.0363946507075417,2.3518657146324506
SLC7A2,0.2543150556423943,-11.276054015946364,1.5207151812533712,3.5037191167229498
ABCB1,0.0671575547367883,-1.3151990131114442,0.6041129367639184,1.5215775718747955
AP1M2,0.09183532953334761,-26.186177913773726,0.5380059170965826,5.214030424407817
CACNB2,0.08367208655881186,-0.5477836861988834,0.5760161481550278,1.244098965292013
CDH1,0.06378896144029012,-28.028265372279726,1.0743477448534866,5.387795558908852
FOXL2,0.04119101264191927,-0.009179332548282959,0.25704128379165253,1.0045783298436646
FOXN2,0.08769387789481164,-4.158750642792704,0.5000413969500221,2.2712866605606985
IKZF1,0.0303293927707875,-3.754197811017378,0.7443391444232905,2.1804134787794935
KIF20A,0.15370772985122982,-8.008034432250696,0.751356108283376,3.001336038260593
MARCO,0.19839791011327013,-1.6397152190967517,1.0751150819912072,1.6247202485004224
MUC2.1,0.07900100516326292,-0.28912038658221406,1.159420547140031,1.1353937041918043
PPP1R3C,0.17740054033066788,-7.07383594005541,1.0978981935543528,2.841451195387138
SPATA6,0.1382511632938005,-4.628499856361202,0.5136372116578711,2.3724454395448356
TNC,0.03634476617161575,-15.650076073391496,1.111463844310047,4.080449441390481
UBE2V2,0.07754479078847465,-19.66648613083707,0.45070816811384523,4.54603789131601
