gene,train_mean_slope,train_mean_intercept,train_prec_00,train_prec_01,train_prec_10,train_prec_11,test_mean_slope,test_mean_intercept,test_prec_00,test_prec_01,test_prec_10,test_prec_11
LAMC2,0.9910345785670158,0.023280947734076032,6562.545974158405,2283.734673731148,2283.734673731148,808.0635604591589,0.5681153560827464,-1.500535373033645,13955.855060250164,5230.998481670482,5230.998481670482,1991.0129846530208
LIMCH1,0.9723663546220036,0.09076194082988624,16281.73390903103,4939.266671192631,4939.266671192632,1503.5250970218694,1.096561084007404,-3.6354100661914295,22977.90654350537,6914.715252716302,6914.715252716301,2085.1053434766072
SIM2,0.9844272448521958,0.022524250134393135,2599.2226465021563,1815.7732392352084,1815.7732392352086,1302.2645434467076,0.5744721265462763,-0.7863935455461194,3817.884566351164,2717.7808693864913,2717.7808693864913,1983.5346890642395
KITLG,0.9989975437830438,0.0034981964478713466,14432.845671786274,4311.744524995244,4311.744524995244,1305.3502133296206,0.8125295445768413,-2.668070931033401,25171.055407668075,7541.594786732665,7541.594786732665,2292.6268599975924
ADORA1,1.0016769558988838,-0.0028768422951660605,6140.34209393957,2491.8201824383464,2491.8201824383464,1023.7721925380279,0.6497744857810074,-1.5288065158223123,11555.673313767968,4872.988750811305,4872.988750811305,2071.4142143750505
ASTN1,0.9880547818566628,0.003882917360347147,853.2073291755881,2675.0380660097844,2675.038066009784,9124.090290034483,1.002862699187884,-0.3044866493272588,199.44449868626182,598.5655250227666,598.5655250227665,1962.202239584321
CD79A,0.9843593794098444,0.03827061371635299,3504.3312864017225,1461.1900712511144,1461.1900712511144,620.186867029972,0.6907285372985598,-1.5498106571131334,10039.280424947332,4399.847443257163,4399.847443257163,1958.7877604795865
DLK1,0.9834929483189273,0.008071292130799435,257.1200045591173,411.01113159794846,411.01113159794846,804.8926238453607,0.7051251864413123,-0.28859018731379865,457.47017924973755,833.6272439781624,833.6272439781625,1994.8437160488909
OPN3,0.9894193677768672,0.023935070347242435,14272.503811150676,6368.118132690587,6368.118132690587,2864.31175251012,1.3384697644421917,-2.9183243428684054,9777.678162536742,4419.624949775255,4419.624949775255,2018.9291443088014
PFN2,0.9922334085161301,0.037008495001692766,40512.67242657463,8585.69054157666,8585.69054157666,1823.8066045790624,0.9349378403874831,-4.364957679445555,46504.203283549934,9912.207326363596,9912.207326363596,2118.0095843069926
ROBO1,0.9813870497882985,0.0447981007668981,12629.350813093559,5143.631356094885,5143.631356094886,2104.92113328476,0.7021200047112047,-1.7117214779293595,12510.095162299536,5101.32711642069,5101.327116420689,2091.674364212022
TGFB3,0.9994099002217152,0.00238459256173002,33249.833408908744,8243.345382799855,8243.345382799855,2059.9418210661192,1.0158359471757599,-4.0731765684682895,36174.02790527427,8951.693582639238,8951.693582639238,2233.094735886839
TNK1,0.9958815772211248,0.012263072656360471,44076.218365580906,14236.001802133966,14236.001802133966,4619.843359643973,1.0928237340471554,-3.4188860672842214,20462.990571733182,6499.297816701215,6499.297816701215,2075.8006291011116
TNN,0.9899929855925204,0.016088936093134075,3171.0377151387634,1957.3963381891554,1957.3963381891554,1262.3341653250495,0.6859826109045661,-1.0340817150532189,4856.306193027274,3084.118895857465,3084.1188958574644,2049.680236880791
VENTX,0.9844858778290984,0.009907790057829664,3028.6035582832083,4959.984171800261,4959.984171800261,8335.681602430477,1.8277134137937683,-1.147753395088756,831.192713566283,1267.7056170919705,1267.7056170919702,2015.432791015501
WLS,0.9966200388778675,0.011193265338535655,15539.453531235691,4480.859927873568,4480.859927873568,1297.4027270005565,0.3802601901300963,-1.2733769081247042,22198.75646900235,6590.440941659774,6590.440941659774,1971.854087040789
CALB2,0.9954412497960459,0.009884920059196793,4220.994247927999,1798.1629953376498,1798.1629953376496,796.2108928706717,0.8256937498313027,-1.7965455188506736,11147.266088879745,4914.274377655757,4914.274377655757,2253.2382961524586
MAGED2,0.9964246035894114,0.023186193690698922,95201.30356383458,14405.267405698445,14405.267405698443,2190.254333724135,1.3237461877680892,-8.842427412681525,110206.06136233664,16431.830769464024,16431.830769464024,2457.635801969452
NKX3-1,0.9895414033273942,0.022849073924790794,4456.790034281235,2106.1238555154077,2106.1238555154077,1011.997448692727,0.6667257637754929,-1.4252958902084965,10579.40419358776,4848.982983856934,4848.982983856934,2268.7950862421794
SLC7A2,0.9972153659728508,0.010065575469821252,5455.2132279509515,1518.1776267134783,1518.1776267134783,451.4039922483113,0.5018013317716098,-1.6854336018510563,31299.70586131078,8785.74760999921,8785.74760999921,2632.7906927226104
ABCB1,0.9889680042430935,0.012912703133486109,3871.3455007636876,3306.036009012695,3306.0360090126946,2878.0312679271137,0.7024152441731776,-0.8096454292731305,2809.7407943750804,2377.346329496739,2377.346329496739,2056.1409048962582
AP1M2,0.9900946912348358,0.05035234398954314,95596.0648947985,18850.375943718813,18850.375943718813,3721.0613538605094,1.0886116571286641,-5.573748257133102,50532.86238028008,9863.315412604943,9863.315412604941,1926.567891044801
CACNB2,0.9887309817411836,0.007753215859727355,1839.0421231776058,2314.5257395313,2314.5257395313006,3066.999840378962,0.6788800428124336,-0.5149986763839028,1369.860581806622,1584.1849071016813,1584.1849071016813,2074.3148387284673
CDH1,0.9938950949316065,0.03271463511856997,26003.807966851135,4883.165698535946,4883.165698535946,919.5995960332605,0.3017937269219962,-1.5966611626355858,56394.33203462945,10611.961776551489,10611.961776551487,2009.6600413476565
FOXL2,0.9782773608210017,0.00304594767062654,301.2360834013651,1984.954022930589,1984.9540229305892,15692.34640996375,2.030547335267171,-0.25640856384653243,37.35323043502579,266.0762665595059,266.07626655950594,2099.1060654141343
FOXN2,0.991768364508009,0.017183271976800234,18709.409160460655,8898.20783593515,8898.20783593515,4255.282987193054,2.702688077075727,-5.574006246803289,9651.505947289786,4665.336074898635,4665.336074898635,2265.904526773708
IKZF1,0.9748606314114245,0.04887557395317134,7187.205075721476,3657.484408106901,3657.4844081069004,1870.0243976172276,0.9519521797187688,-1.8460707803144414,7520.757159766933,3866.12266574764,3866.12266574764,1992.6612802861027
KIF20A,0.9973327465487293,0.0077131448255359294,16416.393907988557,5472.6331378848445,5472.6331378848445,1845.2171256457361,0.9866029391588295,-2.8112110751796937,18656.434533967597,6443.43958835642,6443.43958835642,2253.37088623606
MARCO,1.001110692741791,-0.002469194901614611,1836.2195472954936,1196.091513525541,1196.091513525541,904.1939096405508,0.8386142202873883,-1.1350922901571372,5222.579533911955,3334.4406844905334,3334.4406844905334,2431.2806390252863
MUC2.1,0.9869125579546221,0.005765620251020995,236.20596668572486,344.1953240100993,344.1953240100992,810.5047161800627,0.4054702818635559,-0.19907016316005946,1067.1315862259114,1070.9495257918122,1070.9495257918122,2119.5195658177013
PPP1R3C,0.9940601843960533,0.016130658813688855,6059.816844773891,2195.095276620699,2195.095276620699,825.0530688528235,0.7740865692455506,-2.0836271527721704,17894.102737241283,6436.987726527741,6436.987726527742,2408.36336891059
SPATA6,0.9953623978271596,0.010380441263085016,20024.30320151706,9097.296277669979,9097.296277669979,4165.840423897851,0.8187328223089596,-1.7700952899570213,10249.566138042597,4678.64120092075,4678.641200920749,2165.0425622636435
TNC,0.9641388698549221,0.14434312677168076,14059.988082255955,3474.823123026998,3474.823123026998,861.292325362833,1.1765183630446425,-4.662236620949285,33414.84673015828,8413.154375831436,8413.154375831436,2123.4612911890345
UBE2V2,0.9861799323682529,0.061590736921991955,105379.55089421383,23643.547013985157,23643.547013985153,5309.302146645578,0.8686627631150119,-3.8541391496538675,40934.20596420936,9214.868308868488,9214.868308868488,2076.99938038544
