gene,train_mean_slope,train_mean_intercept,train_prec_00,train_prec_01,train_prec_10,train_prec_11,test_mean_slope,test_mean_intercept,test_prec_00,test_prec_01,test_prec_10,test_prec_11
ESR1,0.9984277964762021,0.006909919408207449,12131.627904252955,2534.1512369342076,2534.1512369342076,591.6768168631829,0.5353006019222526,-2.4446757846854035,103857.35833243435,20878.785498648296,20878.785498648296,4639.5466837583635
CDK12,0.9982915668400376,0.005717205700504739,29761.144538287317,9031.480971635436,9031.480971635436,2753.849030939731,1.66626715788811,-5.355800941285901,24492.868041923666,7594.016053418897,7594.016053418896,2363.5969338346845
DOC2A,0.990479579409214,0.013368017166239731,3251.151164794404,2333.9667724192177,2333.9667724192177,1751.0851348428398,0.8373241659506012,-1.1124897183008304,4290.238783892887,2930.5719176575303,2930.57191765753,2181.7272553271823
ERBB2,0.997399207246309,0.014357501724055217,36813.94372200733,6796.377665965441,6796.37766596544,1266.8925772232885,1.5275157076144388,-8.005789361623634,89443.55085649212,16959.997729413695,16959.997729413695,3241.164531620027
KRT19,0.9858280770354436,0.1085993523582247,77767.61436032996,10162.250890350815,10162.250890350815,1329.4509337930076,0.6191026326589545,-4.721521393402526,108180.50684374907,14184.824524207437,14184.824524207437,1861.9761823920062
PGAP3,0.9999562505269316,0.0008164743333061005,32791.36034028193,8099.942424955976,8099.942424955976,2022.0048191895619,2.028659155089004,-7.93078802155552,60732.25403332466,15453.445192026738,15453.445192026738,3962.1862578433525
PGBD5,0.9981561418910919,0.0014337675732076626,3023.901597437723,1917.7279289767514,1917.7279289767512,1329.7872048601496,1.0608973529167811,-1.4973939022360454,4567.961236717636,3049.3359452228956,3049.3359452228956,2162.0245653768197
PNMT,0.9960538955731968,0.0039675079029824045,1195.9995927852415,836.0242462891268,836.024246289127,657.517785237906,1.1946824473323767,-1.3026910233212068,3120.253140503653,2497.286907767961,2497.2869077679607,2294.2146954367336
STARD3,0.9999302931395005,-0.00008344050683810167,40929.02608101378,10140.621314885027,10140.62131488503,2534.463574565308,2.100332279960792,-8.119219399741539,59784.48267081691,15446.580311828204,15446.580311828204,4015.541057538407
ABCC4,0.9965231377606228,0.004565525474781119,5598.050527659235,3506.591095472254,3506.591095472254,2251.3461324262366,1.0737515552538366,-1.706943781963981,6161.203581141597,3669.9874608643886,3669.987460864389,2301.0206053386864
APOA1,0.9789459390437826,0.011249496735304204,867.431416405415,1547.8694342376723,1547.8694342376725,2950.0818613596034,0.5580994394472963,-0.26746845023912336,534.2150132571802,940.8757776605689,940.8757776605689,1991.6330790476143
CLDN11,0.9848432854083742,0.025935634142490314,4496.903663968511,2496.659900766706,2496.6599007667055,1411.8305198325268,1.012146105527517,-1.7912868382953213,6321.722089966598,3526.5786501633997,3526.5786501634,1998.7780909988703
CNIH4,0.9786649094326553,0.10130150966826358,98114.62236951379,20637.788476262205,20637.788476262205,4344.908137262376,1.3191812451077702,-6.27389685462875,46386.24061665166,9725.64520624101,9725.645206241012,2042.177695483201
JOSD1,0.9938672158482749,0.024475721091178435,150465.4106968104,37587.13919840737,37587.13919840737,9401.014644272986,3.049785571576518,-12.078315286000437,34280.23920504338,8645.971338695284,8645.971338695286,2183.161608416125
RBFA,0.9847770100447925,0.03709853451063496,48021.55337781561,19624.311694544205,19624.311694544205,8028.811484421701,0.723932120677945,-1.7414850714194707,11117.645296226414,4598.238822305962,4598.238822305962,1910.7642905900893
S100A9,0.9990284867174468,0.005605143158411694,7024.831792722068,1542.538282176365,1542.5382821763649,350.09074271469854,0.5359055618894922,-2.354193961782157,50670.08073866242,11099.226299965268,11099.226299965268,2541.1855024119277
CRYL1,0.9893553793421622,0.038437120789091506,57097.11474570605,15741.43407821858,15741.43407821858,4351.267316656692,1.2296546957314725,-4.531832164301421,27443.128147590818,7433.973020332067,7433.973020332067,2017.8413485856202
DIO2,0.9961782523503468,0.007644147047279914,6718.140272327463,2962.1883061619033,2962.188306161903,1323.5430840785982,1.1761030989338197,-2.515801559592311,10044.56561101223,4650.983489190699,4650.9834891906985,2183.0666682408046
GREB1,0.9968126034166587,0.008958147073253429,7327.374192293491,2441.792154692274,2441.792154692274,885.4534383987256,0.45891012061799485,-1.1967463769569902,18303.77624124581,6148.338263547756,6148.338263547755,2356.7674561091176
