adjuster,metadata_label,metric,score_gse_to_metabric,score_metabric_to_gse,score_mean
unadjusted,meta_er_status,MCC,0.02209657207396497,0.0,0.011048286036982486
unadjusted,meta_menopause_status,MCC,0.20104565212785425,0.023144001756631026,0.11209482694224264
unadjusted,meta_sex,MCC,NaN,NaN,NaN
unadjusted,meta_age_at_diagnosis,R2,0.017777300769106774,0.04877350852207796,0.033275404645592366
unadjusted,meta_chemotherapy,MCC,0.0,0.0,0.0
unadjusted,meta_histological_type,MCC,-0.0022052633834980513,0.0,-0.0011026316917490256
unadjusted,meta_her2_status,MCC,0.0,0.0,0.0
unadjusted,meta_age_at_diagnosis_combined_lt50,MCC,0.14272057327793602,0.03910645011878804,0.09091351169836204
unadjusted,meta_age_at_diagnosis_combined_50_69,MCC,-0.004262293131894502,0.018418588189089917,0.007078147528597707
unadjusted,meta_age_at_diagnosis_combined_ge70,MCC,0.08572061557551144,0.0,0.04286030778775572
bayesian_shift_scale,meta_er_status,MCC,0.7856175945384016,0.7610178233058079,0.7733177089221048
bayesian_shift_scale,meta_menopause_status,MCC,0.3571453925254217,0.24728895715193633,0.30221717483867905
bayesian_shift_scale,meta_sex,MCC,NaN,NaN,NaN
bayesian_shift_scale,meta_age_at_diagnosis,R2,0.19662523155659783,0.2536190422416883,0.22512213689914307
bayesian_shift_scale,meta_chemotherapy,MCC,0.0,-0.02327393413948951,-0.011636967069744755
bayesian_shift_scale,meta_histological_type,MCC,0.22208359464844227,0.09112417080321396,0.15660388272582812
bayesian_shift_scale,meta_her2_status,MCC,0.6034087933714736,0.558715584294883,0.5810621888331783
bayesian_shift_scale,meta_age_at_diagnosis_combined_lt50,MCC,0.33328559730205026,0.3136222910613864,0.32345394418171836
bayesian_shift_scale,meta_age_at_diagnosis_combined_50_69,MCC,0.03685635048173993,0.0268750577531834,0.03186570411746166
bayesian_shift_scale,meta_age_at_diagnosis_combined_ge70,MCC,0.19494357625998873,0.19045596889973032,0.19269977257985954
bayesian_effective_shift_only,meta_er_status,MCC,0.7135688851347594,0.7319540487607384,0.7227614669477489
bayesian_effective_shift_only,meta_menopause_status,MCC,0.3956498754990952,0.2707966321881442,0.3332232538436197
bayesian_effective_shift_only,meta_sex,MCC,NaN,NaN,NaN
bayesian_effective_shift_only,meta_age_at_diagnosis,R2,0.17667404502596484,0.22493623947064434,0.2008051422483046
bayesian_effective_shift_only,meta_chemotherapy,MCC,0.0,-0.008394649256801329,-0.0041973246284006645
bayesian_effective_shift_only,meta_histological_type,MCC,0.24456839908741645,0.25170195631680264,0.24813517770210955
bayesian_effective_shift_only,meta_her2_status,MCC,0.7039384578592873,0.5331416587816512,0.6185400583204692
bayesian_effective_shift_only,meta_age_at_diagnosis_combined_lt50,MCC,0.315987991032895,0.32738259757863303,0.321685294305764
bayesian_effective_shift_only,meta_age_at_diagnosis_combined_50_69,MCC,0.038631390544811316,0.042822951604762585,0.04072717107478695
bayesian_effective_shift_only,meta_age_at_diagnosis_combined_ge70,MCC,0.18179668716282052,0.22233545705237925,0.2020660721075999
aligned,meta_er_status,MCC,0.18377696741494798,0.0,0.09188848370747399
aligned,meta_menopause_status,MCC,0.1975761334523298,0.060560167958627,0.1290681507054784
aligned,meta_sex,MCC,NaN,NaN,NaN
aligned,meta_age_at_diagnosis,R2,-0.15262924408967904,0.025790372665819405,-0.06341943571192982
aligned,meta_chemotherapy,MCC,0.0,-0.01537873660894967,-0.007689368304474835
aligned,meta_histological_type,MCC,0.0890821759943367,0.0,0.04454108799716835
aligned,meta_her2_status,MCC,0.0,-0.00521171400832003,-0.002605857004160015
aligned,meta_age_at_diagnosis_combined_lt50,MCC,0.17303982021785785,0.06354162390918591,0.11829072206352188
aligned,meta_age_at_diagnosis_combined_50_69,MCC,0.023360969509376144,0.07780840380623448,0.050584686657805314
aligned,meta_age_at_diagnosis_combined_ge70,MCC,0.2080497457585138,0.0,0.1040248728792569
mnn,meta_er_status,MCC,0.5758335042691201,0.7065719406489931,0.6412027224590566
mnn,meta_menopause_status,MCC,0.23072597489853278,0.08032847633183657,0.15552722561518467
mnn,meta_sex,MCC,NaN,NaN,NaN
mnn,meta_age_at_diagnosis,R2,0.07375182558822002,0.10422743404278934,0.08898962981550468
mnn,meta_chemotherapy,MCC,-0.011522658260180577,-0.045008950746743916,-0.028265804503462246
mnn,meta_histological_type,MCC,0.1803590964653407,0.0522109915267292,0.11628504399603495
mnn,meta_her2_status,MCC,0.33012786008324396,0.2765804489669306,0.3033541545250873
mnn,meta_age_at_diagnosis_combined_lt50,MCC,0.20004572951211647,0.07711953576619529,0.13858263263915588
mnn,meta_age_at_diagnosis_combined_50_69,MCC,0.04160178442577886,-0.03451234026741156,0.0035447220791836494
mnn,meta_age_at_diagnosis_combined_ge70,MCC,0.13614684343771866,0.0754559201647871,0.10580138180125287
min_mean,meta_er_status,MCC,0.7730439284901064,0.7545748285493992,0.7638093785197528
min_mean,meta_menopause_status,MCC,0.3288254799665581,0.2899222897292267,0.3093738848478924
min_mean,meta_sex,MCC,NaN,NaN,NaN
min_mean,meta_age_at_diagnosis,R2,0.15868858600960822,0.20513956621894525,0.18191407611427673
